X product,,,,,,,,,,,,,,,Y product,,,,,,,,,,,,,,,Z product,,,,,,,,,,,,,,,A product,,,,,,,,,,,,,,,B product,,,,,,,,,,,,,,,C product,,,,,,,,,,,,,,,D product,,,,,,,,,,,,,,,E product,,,,,,,,,,,,,,,F product,,,,,,,,,,,,,,,G product,,,,,,,,,,,,,,,H product,,,,,,,,,,,,,,
,Sales,Favorite count,Click count,Basket count,Stock,Price,Rating,Review,"""Notify me"" count",Variant(size),Remove from favorite,Impression,Gender,,,Sales,Favorite count,Click count,Basket count,Stock,Price,Rating,Review,"""Notify me"" count",Variant(size),Remove from favorite,Impression,Gender,,,Sales,Favorite count,Click count,Basket count,Stock,Price,Rating,Review,"""Notify me"" count",Variant(size),Remove from favorite,Impression,Gender,,,Sales,Favorite count,Click count,Basket count,Stock,Price,Rating,Review,"""Notify me"" count",Variant(size),Remove from favorite,Impression,Gender,,,Sales,Favorite count,Click count,Basket count,Stock,Price,Rating,Review,"""Notify me"" count",Variant(size),Remove from favorite,Impression,Gender,,,Sales,Favorite count,Click count,Basket count,Stock,Price,Rating,Review,"""Notify me"" count",Variant(size),Remove from favorite,Impression,Gender,,,Sales,Favorite count,Click count,Basket count,Stock,Price,Rating,Review,"""Notify me"" count",Variant(size),Remove from favorite,Impression,Gender,,,Sales,Favorite count,Click count,Basket count,Stock,Price,Rating,Review,"""Notify me"" count",Variant(size),Remove from favorite,Impression,Gender,,,Sales,Favorite count,Click count,Basket count,Stock,Price,Rating,Review,"""Notify me"" count",Variant(size),Remove from favorite,Impression,Gender,,,Sales,Favorite count,Click count,Basket count,Stock,Price,Rating,Review,"""Notify me"" count",Variant(size),Remove from favorite,Impression,Gender,,,Sales,Favorite count,Click count,Basket count,Stock,Price,Rating,Review,"""Notify me"" count",Variant(size),Remove from favorite,Impression,Gender,
11,11,6,331,22,16,4,9,8,1,"S,M,L,XL",14,356,Male,,11,5,3,281,12,7,6,8,2,5,Y,0,320,Female,,11,13,12,42,22,2,8,7,5,2,"S,M,L,XL",2,287,Male,,11,4,4,466,21,2,30,8,2,3,A,14,485,Female,,11,9,9,431,20,7,4,5,9,2,B,3,554,Male,,11,12,2,74,25,16,35,6,5,1,L,2,236,Female,,11,2,0,220,9,3,400,7,1,0,K,1,377,Male,,11,26,23,67,19,15,200,7,4,0,C,11,299,Female,,11,10,5,116,16,18,150,8,3,5,D,5,784,Male,,11,106,12,1613,122,31,10,9,89,38,B,6,1615,Male,,11,42,40,948,83,170,20,10,29,27,A,60,3328,Female,
12,12,4,95,28,17,4,6,8,5,"S,M,L,XL",15,137,Male,,12,7,7,267,10,12,6,8,5,4,Y,3,364,Female,,12,1,1,369,2,13,8,7,0,2,"S,M,L,XL",11,531,Male,,12,15,7,439,25,18,30,5,2,3,A,4,546,Female,,12,0,0,240,11,16,4,9,0,1,B,7,300,Male,,12,6,2,422,15,13,35,9,5,0,L,6,439,Female,,12,0,0,377,1,2,400,9,0,3,K,0,454,Male,,12,1,1,430,20,17,200,10,1,2,C,12,977,Female,,12,5,1,57,23,8,150,7,4,0,D,14,347,Male,,12,18,12,226,143,129,10,10,2,3,B,19,2229,Male,,12,62,11,118,76,95,20,8,34,15,A,21,2250,Female,
13,7,3,385,20,20,4,8,4,1,"S,M,L,XL",2,738,Male,,13,7,3,19,24,20,6,10,7,5,Y,0,91,Female,,13,5,4,492,8,15,8,6,3,2,"S,M,L,XL",10,613,Male,,13,10,8,405,17,4,30,10,1,0,A,4,548,Female,,13,19,8,464,28,17,4,9,17,1,B,12,469,Male,,13,4,1,70,12,16,35,10,0,3,L,3,130,Female,,13,6,5,115,8,5,400,9,0,5,K,9,170,Male,,13,26,18,172,13,3,200,9,25,4,C,4,193,Female,,13,10,1,223,10,16,150,8,9,3,D,4,633,Male,,13,64,0,119,115,50,10,8,18,13,B,34,508,Male,,13,38,9,1950,231,13,20,7,4,19,A,74,4363,Female,
14,7,7,235,21,18,4,10,6,0,"S,M,L,XL",0,497,Male,,14,7,4,402,21,2,6,7,5,3,Y,13,477,Female,,14,3,1,155,29,12,8,8,1,4,"S,M,L,XL",7,699,Male,,14,13,3,85,16,9,30,6,9,0,A,2,625,Female,,14,5,0,396,28,2,4,8,2,1,B,8,442,Male,,14,2,0,430,9,2,35,6,1,4,L,12,708,Female,,14,4,4,119,10,3,400,7,1,2,K,0,124,Male,,14,17,2,300,24,14,200,8,3,0,C,9,316,Female,,14,12,8,449,8,8,150,10,5,5,D,15,513,Male,,14,11,6,1005,67,81,10,10,2,3,B,2,2110,Male,,14,73,24,686,164,156,20,8,71,13,A,46,1351,Female,
15,11,5,118,17,12,4,10,2,2,"S,M,L,XL",4,593,Male,,15,0,0,96,26,12,6,7,0,3,Y,13,298,Female,,15,15,8,478,19,5,8,10,7,1,"S,M,L,XL",1,492,Male,,15,14,9,64,30,2,30,10,6,0,A,7,664,Female,,15,5,0,394,20,12,4,10,5,0,B,1,395,Male,,15,5,4,307,11,7,35,8,5,3,L,6,365,Female,,15,4,1,478,12,2,400,8,1,2,K,12,498,Male,,15,28,22,94,28,16,200,6,4,5,C,9,984,Female,,15,2,0,329,16,15,150,8,2,3,D,0,962,Male,,15,41,35,551,51,42,10,10,38,23,B,32,1383,Male,,15,139,85,1043,215,134,20,7,94,50,A,58,2850,Female,
16,11,4,376,29,18,4,10,6,5,"S,M,L,XL",14,460,Male,,16,8,3,196,12,20,6,8,0,3,Y,14,569,Female,,16,3,2,280,27,11,8,7,2,5,"S,M,L,XL",6,689,Male,,16,8,8,378,29,9,30,8,4,0,A,12,607,Female,,16,0,0,284,22,3,4,5,0,5,B,1,371,Male,,16,2,0,393,20,6,35,9,0,2,L,7,793,Female,,16,0,0,277,1,8,400,9,0,2,K,14,281,Male,,16,13,7,329,16,10,200,5,4,1,C,3,334,Female,,16,8,4,264,19,19,150,8,3,4,D,10,690,Male,,16,121,74,1261,149,58,10,8,66,37,B,49,3312,Male,,16,58,12,1819,190,72,20,10,33,7,A,23,3597,Female,
17,9,6,105,16,20,4,10,5,5,"S,M,L,XL",12,990,Male,,17,11,5,271,18,11,6,5,7,1,Y,8,365,Female,,17,11,4,328,27,8,8,10,7,1,"S,M,L,XL",10,665,Male,,17,9,2,460,9,3,30,10,1,1,A,11,573,Female,,17,3,2,77,14,16,4,9,3,1,B,4,532,Male,,17,8,8,264,30,2,35,9,1,1,L,2,573,Female,,17,2,0,485,2,8,400,7,1,4,K,15,491,Male,,17,17,1,103,24,2,200,8,7,1,C,14,924,Female,,17,6,6,368,29,14,150,7,6,3,D,11,860,Male,,17,13,1,1387,68,20,10,9,0,8,B,62,1923,Male,,17,132,2,865,215,114,20,8,116,9,A,62,3567,Female,
18,3,2,407,27,11,4,5,2,5,"S,M,L,XL",15,702,Male,,18,7,4,28,18,9,6,8,0,3,Y,12,90,Female,,18,8,5,220,24,6,8,9,1,1,"S,M,L,XL",1,755,Male,,18,7,6,285,18,10,30,7,0,0,A,15,585,Female,,18,25,15,23,25,8,4,10,20,3,B,6,40,Male,,18,8,0,212,13,20,35,8,2,1,L,13,528,Female,,18,3,0,82,10,7,400,8,1,3,K,6,499,Male,,18,23,17,124,24,15,200,6,1,0,C,1,698,Female,,18,14,3,384,6,14,150,5,9,3,D,14,953,Male,,18,31,13,683,74,123,10,6,13,34,B,8,3416,Male,,18,84,50,826,197,46,20,7,20,16,A,98,4379,Female,
19,1,1,285,3,12,4,8,0,4,"S,M,L,XL",4,533,Male,,19,8,7,448,25,15,6,10,5,3,Y,11,482,Female,,19,16,12,376,26,17,8,8,15,1,"S,M,L,XL",7,394,Male,,19,24,8,317,28,4,30,8,10,5,A,4,322,Female,,19,4,2,346,25,12,4,9,2,5,B,11,552,Male,,19,10,3,36,29,7,35,5,0,5,L,4,362,Female,,19,3,0,95,5,5,400,8,0,4,K,11,137,Male,,19,3,2,113,8,13,200,5,0,5,C,4,952,Female,,19,2,2,310,24,7,150,7,1,4,D,6,653,Male,,19,21,12,637,39,68,10,10,13,12,B,24,2298,Male,,19,24,6,2468,68,47,20,10,12,15,A,59,4454,Female,
20,2,1,30,19,14,4,5,0,4,"S,M,L,XL",0,107,Male,,20,3,0,104,26,6,6,9,3,3,Y,6,196,Female,,20,2,0,293,16,10,8,6,2,3,"S,M,L,XL",5,694,Male,,20,16,11,374,22,9,30,9,0,0,A,3,613,Female,,20,23,11,71,26,4,4,9,3,4,B,8,234,Male,,20,4,0,432,22,6,35,7,0,2,L,9,499,Female,,20,5,5,293,14,10,400,7,2,2,K,8,344,Male,,20,19,2,61,27,8,200,9,6,4,C,6,139,Female,,20,14,4,24,19,14,150,6,5,0,D,13,394,Male,,20,26,22,1171,52,126,10,6,25,27,B,13,1459,Male,,20,47,37,117,171,40,20,10,7,41,A,20,2003,Female,
21,8,6,303,22,13,4,10,0,5,"S,M,L,XL",0,841,Male,,21,5,2,57,23,2,6,10,4,1,Y,7,195,Female,,21,12,3,312,22,15,8,6,3,5,"S,M,L,XL",10,591,Male,,21,23,2,29,30,13,30,10,19,2,A,14,679,Female,,21,18,10,193,26,13,4,9,4,4,B,2,537,Male,,21,12,8,46,20,8,35,10,1,1,L,2,642,Female,,21,3,1,141,10,8,400,6,2,0,K,10,255,Male,,21,18,3,349,20,8,200,5,18,2,C,13,999,Female,,21,0,0,382,22,19,150,8,0,0,D,4,411,Male,,21,135,92,1896,139,69,10,6,82,49,B,47,2675,Male,,21,131,21,2267,131,107,20,10,97,45,A,38,3134,Female,
22,4,4,165,19,8,4,9,3,5,"S,M,L,XL",5,999,Male,,22,0,0,327,7,18,6,7,0,3,Y,8,551,Female,,22,12,3,167,21,6,8,9,9,0,"S,M,L,XL",4,184,Male,,22,1,1,5,4,6,30,5,0,1,A,0,174,Female,,22,28,28,260,29,3,4,6,2,4,B,1,519,Male,,22,3,2,438,7,6,35,6,3,3,L,4,457,Female,,22,4,0,270,10,8,400,6,3,0,K,13,499,Male,,22,8,4,338,5,4,200,8,2,5,C,5,679,Female,,22,10,4,457,30,17,150,5,5,5,D,9,851,Male,,22,63,14,1005,93,77,10,8,0,17,B,46,1191,Male,,22,101,57,2409,128,175,20,9,0,35,A,45,4640,Female,
23,0,0,104,7,13,4,8,0,1,"S,M,L,XL",12,469,Male,,23,10,2,439,10,10,6,7,3,1,Y,6,487,Female,,23,3,0,226,3,12,8,8,2,4,"S,M,L,XL",2,232,Male,,23,24,3,440,27,20,30,6,13,0,A,2,577,Female,,23,6,2,116,8,10,4,8,3,0,B,8,406,Male,,23,6,1,150,20,6,35,7,5,3,L,14,574,Female,,23,1,0,145,11,6,400,5,1,4,K,10,172,Male,,23,14,7,263,8,16,200,6,1,4,C,10,269,Female,,23,9,1,412,8,20,150,9,9,0,D,1,718,Male,,23,2,1,1431,116,23,10,10,0,10,B,47,1653,Male,,23,88,32,829,171,162,20,10,41,37,A,16,1928,Female,
24,8,3,291,29,20,4,7,0,2,"S,M,L,XL",13,325,Male,,24,5,2,487,26,11,6,6,0,0,Y,2,536,Female,,24,7,4,341,11,4,8,5,5,3,"S,M,L,XL",12,670,Male,,24,11,5,11,23,13,30,9,0,2,A,3,685,Female,,24,27,6,315,29,7,4,10,6,4,B,8,334,Male,,24,1,0,67,19,14,35,5,1,0,L,7,525,Female,,24,0,0,426,7,8,400,6,0,5,K,11,490,Male,,24,13,9,89,18,13,200,7,5,5,C,6,679,Female,,24,4,1,420,15,7,150,7,2,3,D,2,660,Male,,24,139,38,1453,142,116,10,5,128,43,B,35,1910,Male,,24,148,9,333,243,114,20,10,123,31,A,15,2781,Female,
25,14,5,205,27,11,4,9,11,3,"S,M,L,XL",14,914,Male,,25,3,0,105,13,14,6,10,1,3,Y,10,442,Female,,25,6,6,360,29,15,8,8,4,1,"S,M,L,XL",1,635,Male,,25,13,7,366,20,12,30,8,6,0,A,12,380,Female,,25,23,19,80,28,9,4,6,4,5,B,10,146,Male,,25,9,2,167,17,13,35,5,5,5,L,4,780,Female,,25,0,0,164,10,4,400,8,0,1,K,9,172,Male,,25,23,15,122,12,15,200,6,13,4,C,6,214,Female,,25,5,3,346,18,16,150,6,2,5,D,0,862,Male,,25,52,47,792,64,114,10,9,22,45,B,4,2888,Male,,25,48,32,250,117,167,20,10,27,9,A,21,4359,Female,
26,9,4,161,23,18,4,7,4,4,"S,M,L,XL",8,403,Male,,26,1,0,195,19,13,6,9,1,3,Y,5,511,Female,,26,14,8,399,20,8,8,6,11,1,"S,M,L,XL",6,577,Male,,26,24,17,387,25,15,30,8,21,5,A,8,584,Female,,26,12,3,45,12,11,4,6,9,5,B,13,147,Male,,26,8,5,135,17,15,35,9,3,3,L,2,484,Female,,26,0,0,433,14,10,400,8,0,5,K,9,456,Male,,26,6,5,499,9,2,200,9,6,5,C,1,736,Female,,26,0,0,168,26,19,150,10,0,5,D,1,421,Male,,26,18,2,1091,132,9,10,5,3,41,B,13,1348,Male,,26,146,45,1091,246,89,20,7,92,41,A,71,4005,Female,
27,1,0,235,2,8,4,9,0,5,"S,M,L,XL",0,433,Male,,27,2,1,456,6,10,6,6,1,4,Y,14,462,Female,,27,9,7,320,19,18,8,10,1,0,"S,M,L,XL",15,608,Male,,27,7,0,168,15,14,30,5,7,1,A,9,603,Female,,27,26,6,123,27,5,4,7,12,3,B,10,361,Male,,27,13,10,62,24,9,35,10,0,2,L,12,273,Female,,27,4,2,187,6,2,400,5,1,5,K,10,479,Male,,27,26,4,382,13,18,200,5,23,4,C,13,708,Female,,27,10,2,129,20,20,150,7,8,2,D,11,680,Male,,27,33,29,1458,125,105,10,7,18,29,B,16,2284,Male,,27,100,45,1892,188,127,20,10,46,41,A,34,2160,Female,
28,7,6,190,22,10,4,9,5,2,"S,M,L,XL",6,596,Male,,28,11,3,461,30,4,6,5,7,1,Y,12,582,Female,,28,13,5,468,23,19,8,5,13,3,"S,M,L,XL",5,554,Male,,28,24,15,22,29,8,30,6,9,1,A,1,127,Female,,28,10,5,122,20,12,4,10,8,5,B,2,300,Male,,28,5,5,469,17,3,35,10,3,2,L,8,615,Female,,28,3,3,315,8,9,400,5,2,1,K,0,499,Male,,28,17,13,104,10,3,200,5,7,1,C,0,154,Female,,28,10,6,390,29,12,150,8,8,0,D,5,641,Male,,28,16,13,1197,41,141,10,7,6,39,B,24,3016,Male,,28,27,8,1702,39,46,20,10,6,34,A,45,4211,Female,
29,4,3,368,6,19,4,7,3,0,"S,M,L,XL",2,496,Male,,29,9,5,128,22,6,6,8,4,4,Y,1,174,Female,,29,12,0,134,13,20,8,10,12,4,"S,M,L,XL",8,380,Male,,29,12,0,150,22,11,30,6,3,4,A,15,221,Female,,29,4,4,411,18,16,4,8,1,3,B,5,596,Male,,29,9,9,158,21,14,35,9,2,3,L,10,173,Female,,29,4,4,254,15,5,400,9,4,4,K,3,400,Male,,29,26,5,230,15,15,200,10,3,3,C,1,511,Female,,29,4,1,165,17,3,150,6,4,5,D,12,780,Male,,29,5,0,1467,139,137,10,8,1,38,B,21,1816,Male,,29,128,43,480,215,169,20,10,74,34,A,20,3353,Female,
30,10,6,368,30,5,4,7,1,3,"S,M,L,XL",12,503,Male,,30,0,0,145,27,9,6,10,0,3,Y,1,371,Female,,30,15,12,479,25,10,8,8,13,2,"S,M,L,XL",0,494,Male,,30,24,12,23,24,6,30,8,4,0,A,11,592,Female,,30,28,14,89,30,10,4,7,21,3,B,6,475,Male,,30,3,0,277,12,13,35,8,1,2,L,1,688,Female,,30,0,0,41,8,8,400,9,0,2,K,0,260,Male,,30,8,8,435,19,14,200,5,8,1,C,4,904,Female,,30,12,1,274,13,14,150,8,3,5,D,1,591,Male,,30,103,18,662,118,129,10,9,88,25,B,57,1261,Male,,30,28,4,1667,198,170,20,10,20,42,A,9,3005,Female,
31,8,5,202,18,12,4,7,5,0,"S,M,L,XL",8,273,Male,,31,1,1,78,7,12,6,5,0,2,Y,12,522,Female,,31,2,0,244,15,20,8,10,0,1,"S,M,L,XL",10,716,Male,,31,3,1,488,26,4,30,6,1,5,A,2,536,Female,,31,21,11,307,23,10,4,6,13,5,B,1,342,Male,,31,3,3,460,4,8,35,9,1,1,L,15,566,Female,,31,5,5,376,13,7,400,10,1,0,K,9,425,Male,,31,7,0,468,8,5,200,6,4,2,C,7,507,Female,,31,10,4,441,18,19,150,10,7,5,D,11,441,Male,,31,54,17,325,65,138,10,9,9,32,B,59,597,Male,,31,141,4,483,181,79,20,9,115,22,A,4,4713,Female,
32,13,4,420,19,3,4,5,9,2,"S,M,L,XL",12,998,Male,,32,1,0,177,15,3,6,8,0,1,Y,10,580,Female,,32,11,6,357,27,16,8,7,5,4,"S,M,L,XL",12,599,Male,,32,5,2,319,7,9,30,6,1,0,A,7,423,Female,,32,1,0,127,17,19,4,9,0,0,B,15,172,Male,,32,0,0,200,25,10,35,5,0,1,L,2,413,Female,,32,5,3,98,9,10,400,6,0,0,K,0,300,Male,,32,23,21,38,29,11,200,8,16,1,C,4,754,Female,,32,13,7,345,20,4,150,8,10,5,D,9,756,Male,,32,73,43,1408,75,100,10,8,20,32,B,52,2631,Male,,32,144,105,1940,226,84,20,9,43,30,A,26,2417,Female,
33,9,4,466,10,18,4,6,7,2,"S,M,L,XL",0,547,Male,,33,8,7,350,16,13,6,7,8,3,Y,3,597,Female,,33,0,0,212,18,6,8,7,0,0,"S,M,L,XL",0,475,Male,,33,10,10,455,14,8,30,5,4,3,A,6,691,Female,,33,6,3,37,6,9,4,8,3,1,B,11,41,Male,,33,8,4,74,15,2,35,7,7,5,L,11,352,Female,,33,3,1,408,14,6,400,5,1,3,K,14,433,Male,,33,18,13,298,13,14,200,6,18,4,C,3,679,Female,,33,9,9,295,13,12,150,10,7,2,D,11,643,Male,,33,131,31,972,139,104,10,6,92,11,B,25,1100,Male,,33,0,0,87,184,155,20,8,0,35,A,34,2762,Female,
34,12,6,280,16,9,4,7,1,4,"S,M,L,XL",14,730,Male,,34,10,10,401,13,5,6,9,0,0,Y,11,479,Female,,34,13,7,489,24,9,8,10,12,3,"S,M,L,XL",9,539,Male,,34,8,1,174,30,15,30,7,6,2,A,5,517,Female,,34,20,11,333,25,10,4,10,10,2,B,3,373,Male,,34,13,4,448,26,7,35,8,5,0,L,6,573,Female,,34,3,0,377,3,7,400,6,0,0,K,5,393,Male,,34,7,6,189,9,13,200,10,0,5,C,4,515,Female,,34,13,6,51,10,14,150,6,8,2,D,9,447,Male,,34,19,1,1586,78,26,10,10,11,45,B,31,3480,Male,,34,8,8,2227,123,86,20,8,8,16,A,57,4182,Female,
